"Datetime";"Power"
"20230128:21";"574"
"20230128:22";"44"
"20230128:23";"758"
"20230129:00";"197"
"20230129:01";"904"
"20230129:02";"975"
"20230129:03";"218"
"20230129:04";"464"
"20230129:05";"974"
"20230129:06";"35"
"20230129:07";"640"
"20230129:08";"928"
"20230129:09";"656"
"20230129:10";"648"
"20230129:11";"101"
"20230129:12";"781"
"20230129:13";"265"
"20230129:14";"737"
"20230129:15";"11"
"20230129:16";"949"
"20230129:17";"642"
"20230129:18";"254"
"20230129:19";"819"
"20230129:20";"628"
"20230129:21";"416"
"20230129:22";"892"
"20230129:23";"945"
"20230130:00";"921"
"20230130:01";"259"
"20230130:02";"815"
"20230130:03";"723"
"20230130:04";"534"
"20230130:05";"381"
"20230130:06";"936"
"20230130:07";"149"
"20230130:08";"268"
"20230130:09";"346"
"20230130:10";"461"
"20230130:11";"262"
"20230130:12";"34"
"20230130:13";"406"
"20230130:14";"408"
"20230130:15";"725"
"20230130:16";"474"
"20230130:17";"885"
"20230130:18";"263"
"20230130:19";"945"
"20230130:20";"28"
"20230130:21";"944"
"20230130:22";"652"
"20230130:23";"208"
"20230131:00";"595"
"20230131:01";"267"
"20230131:02";"824"
"20230131:03";"508"
"20230131:04";"320"
"20230131:05";"438"
"20230131:06";"66"
"20230131:07";"271"
"20230131:08";"565"
"20230131:09";"613"
"20230131:10";"475"
"20230131:11";"255"
"20230131:12";"962"
"20230131:13";"694"
"20230131:14";"601"
"20230131:15";"492"
"20230131:16";"659"
"20230131:17";"194"
"20230131:18";"517"
"20230131:19";"901"
"20230131:20";"649"
"20230131:21";"477"
"20230131:22";"555"
"20230131:23";"621"
"20230201:00";"753"
"20230201:01";"647"
"20230201:02";"384"
"20230201:03";"904"
"20230201:04";"254"
"20230201:05";"3"
"20230201:06";"156"
"20230201:07";"181"
"20230201:08";"630"
"20230201:09";"275"
"20230201:10";"860"
"20230201:11";"132"
"20230201:12";"756"
"20230201:13";"775"
"20230201:14";"526"
"20230201:15";"861"
"20230201:16";"995"
"20230201:17";"586"
"20230201:18";"175"
"20230201:19";"479"
"20230201:20";"104"
"20230201:21";"891"
"20230201:22";"163"
"20230201:23";"615"
"20230202:00";"388"
"20230202:01";"157"
"20230202:02";"619"
"20230202:03";"444"
"20230202:04";"38"
"20230202:05";"980"
"20230202:06";"921"
"20230202:07";"926"
"20230202:08";"239"
"20230202:09";"174"
"20230202:10";"163"
"20230202:11";"517"
"20230202:12";"905"
"20230202:13";"365"
"20230202:14";"948"
"20230202:15";"311"
"20230202:16";"187"
"20230202:17";"492"
"20230202:18";"175"
"20230202:19";"202"
"20230202:20";"506"
"20230202:21";"660"
"20230202:22";"872"
"20230202:23";"783"
"20230203:00";"855"
"20230203:01";"153"
"20230203:02";"514"
"20230203:03";"408"
"20230203:04";"15"
"20230203:05";"839"
"20230203:06";"629"
"20230203:07";"61"
"20230203:08";"429"
"20230203:09";"560"
"20230203:10";"991"
"20230203:11";"417"
"20230203:12";"232"
"20230203:13";"784"
"20230203:14";"955"
"20230203:15";"180"
"20230203:16";"519"
"20230203:17";"870"
"20230203:18";"491"
"20230203:19";"727"
"20230203:20";"498"
"20230203:21";"275"
"20230203:22";"520"
"20230203:23";"676"
"20230204:00";"527"
"20230204:01";"154"
"20230204:02";"553"
"20230204:03";"248"
"20230204:04";"387"
"20230204:05";"110"
"20230204:06";"911"
"20230204:07";"742"
"20230204:08";"434"
"20230204:09";"247"
"20230204:10";"271"
"20230204:11";"668"
"20230204:12";"288"
"20230204:13";"890"
"20230204:14";"602"
"20230204:15";"692"
"20230204:16";"982"
"20230204:17";"493"
"20230204:18";"205"
"20230204:19";"766"
"20230204:20";"635"
"20230204:21";"593"
"20230204:22";"872"
"20230204:23";"29"
"20230205:00";"579"
"20230205:01";"158"
"20230205:02";"971"
"20230205:03";"210"
"20230205:04";"415"
"20230205:05";"739"
"20230205:06";"591"
"20230205:07";"380"
"20230205:08";"679"
"20230205:09";"644"
"20230205:10";"822"
"20230205:11";"529"
"20230205:12";"382"
"20230205:13";"204"
"20230205:14";"26"
"20230205:15";"615"
"20230205:16";"783"
"20230205:17";"169"
"20230205:18";"327"
"20230205:19";"872"
"20230205:20";"712"
"20230205:21";"587"
"20230205:22";"272"
"20230205:23";"32"
"20230206:00";"615"
"20230206:01";"748"
"20230206:02";"964"
"20230206:03";"524"
"20230206:04";"891"
"20230206:05";"764"
"20230206:06";"413"
"20230206:07";"617"
"20230206:08";"858"
"20230206:09";"694"
"20230206:10";"951"
"20230206:11";"208"
"20230206:12";"908"
"20230206:13";"589"
"20230206:14";"531"
"20230206:15";"798"
"20230206:16";"749"
"20230206:17";"454"
"20230206:18";"974"
"20230206:19";"491"
"20230206:20";"528"
"20230206:21";"976"
"20230206:22";"336"
"20230206:23";"878"
"20230207:00";"312"
"20230207:01";"87"
"20230207:02";"574"
"20230207:03";"536"
"20230207:04";"541"
"20230207:05";"762"
"20230207:06";"202"
"20230207:07";"257"
"20230207:08";"760"
"20230207:09";"148"
"20230207:10";"904"
"20230207:11";"114"
"20230207:12";"997"
"20230207:13";"995"
"20230207:14";"472"
"20230207:15";"701"
"20230207:16";"736"
"20230207:17";"291"
"20230207:18";"155"
"20230207:19";"522"
"20230207:20";"797"
"20230207:21";"861"
"20230207:22";"23"
"20230207:23";"63"
"20230208:00";"513"
"20230208:01";"274"
"20230208:02";"687"
"20230208:03";"720"
"20230208:04";"463"
"20230208:05";"975"
"20230208:06";"403"
"20230208:07";"670"
"20230208:08";"264"
"20230208:09";"628"
"20230208:10";"993"
"20230208:11";"3"
"20230208:12";"515"
"20230208:13";"831"
"20230208:14";"904"
"20230208:15";"30"
"20230208:16";"639"
"20230208:17";"73"
"20230208:18";"632"
"20230208:19";"723"
"20230208:20";"163"
"20230208:21";"222"
"20230208:22";"334"
"20230208:23";"869"
"20230209:00";"975"
"20230209:01";"434"
"20230209:02";"148"
"20230209:03";"123"
"20230209:04";"701"
"20230209:05";"205"
"20230209:06";"221"
"20230209:07";"491"
"20230209:08";"56"
"20230209:09";"606"
"20230209:10";"128"
"20230209:11";"396"
"20230209:12";"333"
"20230209:13";"719"
"20230209:14";"711"
"20230209:15";"629"
"20230209:16";"310"
"20230209:17";"172"
"20230209:18";"877"
"20230209:19";"900"
"20230209:20";"817"
"20230209:21";"489"
"20230209:22";"340"
"20230209:23";"89"
"20230210:00";"210"
"20230210:01";"582"
"20230210:02";"445"
"20230210:03";"342"
"20230210:04";"464"
"20230210:05";"713"
"20230210:06";"174"
"20230210:07";"17"
"20230210:08";"419"
"20230210:09";"350"
"20230210:10";"949"
"20230210:11";"744"
"20230210:12";"363"
"20230210:13";"809"
"20230210:14";"988"
"20230210:15";"249"
"20230210:16";"232"
"20230210:17";"923"
"20230210:18";"64"
"20230210:19";"843"
"20230210:20";"564"
"20230210:21";"298"
"20230210:22";"187"
"20230210:23";"57"
"20230211:00";"204"
"20230211:01";"72"
"20230211:02";"64"
"20230211:03";"406"
"20230211:04";"619"
"20230211:05";"755"
"20230211:06";"913"
"20230211:07";"556"
"20230211:08";"604"
"20230211:09";"372"
"20230211:10";"176"
"20230211:11";"290"
"20230211:12";"66"
"20230211:13";"985"
"20230211:14";"976"
"20230211:15";"494"
"20230211:16";"28"
"20230211:17";"113"
"20230211:18";"607"
"20230211:19";"476"
"20230211:20";"127"
"20230211:21";"668"
"20230211:22";"764"
"20230211:23";"971"
"20230212:00";"469"
"20230212:01";"190"
"20230212:02";"923"
"20230212:03";"863"
"20230212:04";"245"
"20230212:05";"381"
"20230212:06";"774"
"20230212:07";"594"
"20230212:08";"885"
"20230212:09";"880"
"20230212:10";"184"
"20230212:11";"12"
"20230212:12";"399"
"20230212:13";"453"
"20230212:14";"35"
"20230212:15";"842"
"20230212:16";"584"
"20230212:17";"170"
"20230212:18";"512"
"20230212:19";"151"
"20230212:20";"26"
"20230212:21";"792"
"20230212:22";"930"
"20230212:23";"43"
"20230213:00";"617"
"20230213:01";"343"
"20230213:02";"793"
"20230213:03";"690"
"20230213:04";"671"
"20230213:05";"290"
"20230213:06";"797"
"20230213:07";"789"
"20230213:08";"642"
"20230213:09";"76"
"20230213:10";"89"
"20230213:11";"73"
"20230213:12";"697"
"20230213:13";"966"
"20230213:14";"809"
"20230213:15";"839"
"20230213:16";"442"
"20230213:17";"17"
"20230213:18";"880"
"20230213:19";"402"
"20230213:20";"486"
"20230213:21";"573"
"20230213:22";"6"
"20230213:23";"601"
"20230214:00";"23"
"20230214:01";"800"
"20230214:02";"424"
"20230214:03";"960"
"20230214:04";"904"
"20230214:05";"960"
"20230214:06";"144"
"20230214:07";"212"
"20230214:08";"828"
"20230214:09";"690"
"20230214:10";"934"
"20230214:11";"410"
"20230214:12";"615"
"20230214:13";"629"
"20230214:14";"6"
"20230214:15";"358"
"20230214:16";"209"
"20230214:17";"620"
"20230214:18";"128"
"20230214:19";"225"
"20230214:20";"297"
"20230214:21";"653"
"20230214:22";"783"
"20230214:23";"882"
"20230215:00";"924"
"20230215:01";"179"
"20230215:02";"169"
"20230215:03";"342"
"20230215:04";"613"
"20230215:05";"439"
"20230215:06";"262"
"20230215:07";"252"
"20230215:08";"837"
"20230215:09";"878"
"20230215:10";"208"
"20230215:11";"580"
"20230215:12";"598"
"20230215:13";"804"
"20230215:14";"318"
"20230215:15";"299"
"20230215:16";"706"
"20230215:17";"393"
"20230215:18";"961"
"20230215:19";"780"
"20230215:20";"615"
"20230215:21";"551"
"20230215:22";"843"
"20230215:23";"302"
"20230216:00";"631"
"20230216:01";"737"
"20230216:02";"107"
"20230216:03";"251"
"20230216:04";"622"
"20230216:05";"77"
"20230216:06";"154"
"20230216:07";"212"
"20230216:08";"956"
"20230216:09";"309"
"20230216:10";"915"
"20230216:11";"834"
"20230216:12";"451"
"20230216:13";"166"
"20230216:14";"51"
"20230216:15";"866"
"20230216:16";"930"
"20230216:17";"799"
"20230216:18";"755"
"20230216:19";"431"
"20230216:20";"139"
"20230216:21";"173"
"20230216:22";"591"
"20230216:23";"957"
"20230217:00";"461"
"20230217:01";"144"
"20230217:02";"996"
"20230217:03";"459"
"20230217:04";"914"
"20230217:05";"407"
"20230217:06";"923"
"20230217:07";"558"
"20230217:08";"742"
"20230217:09";"416"
"20230217:10";"455"
"20230217:11";"297"
"20230217:12";"962"
"20230217:13";"715"
"20230217:14";"651"
"20230217:15";"945"
"20230217:16";"426"
"20230217:17";"912"
"20230217:18";"556"
"20230217:19";"512"
"20230217:20";"547"
"20230217:21";"299"
"20230217:22";"211"
"20230217:23";"323"
"20230218:00";"947"
"20230218:01";"409"
"20230218:02";"467"
"20230218:03";"101"
"20230218:04";"865"
"20230218:05";"575"
"20230218:06";"846"
"20230218:07";"458"
"20230218:08";"43"
"20230218:09";"980"
"20230218:10";"398"
"20230218:11";"637"
"20230218:12";"999"
"20230218:13";"984"
"20230218:14";"389"
"20230218:15";"250"
"20230218:16";"58"
"20230218:17";"53"
"20230218:18";"511"
"20230218:19";"303"
"20230218:20";"248"
"20230218:21";"727"
"20230218:22";"837"
"20230218:23";"751"
"20230219:00";"22"
"20230219:01";"654"
"20230219:02";"120"
"20230219:03";"481"
"20230219:04";"781"
"20230219:05";"364"
"20230219:06";"242"
"20230219:07";"147"
"20230219:08";"41"
"20230219:09";"297"
"20230219:10";"116"
"20230219:11";"499"
"20230219:12";"763"
"20230219:13";"160"
"20230219:14";"300"
"20230219:15";"464"
"20230219:16";"386"
"20230219:17";"295"
"20230219:18";"315"
"20230219:19";"765"
"20230219:20";"35"
"20230219:21";"680"
"20230219:22";"86"
"20230219:23";"941"
"20230220:00";"120"
"20230220:01";"54"
"20230220:02";"22"
"20230220:03";"789"
"20230220:04";"357"
"20230220:05";"353"
"20230220:06";"221"
"20230220:07";"991"
"20230220:08";"944"
"20230220:09";"728"
"20230220:10";"288"
"20230220:11";"194"
"20230220:12";"296"
"20230220:13";"207"
"20230220:14";"921"
"20230220:15";"214"
"20230220:16";"740"
"20230220:17";"219"
"20230220:18";"407"
"20230220:19";"810"
"20230220:20";"23"
"20230220:21";"598"
"20230220:22";"770"
"20230220:23";"900"
"20230221:00";"887"
"20230221:01";"450"
"20230221:02";"97"
"20230221:03";"723"
"20230221:04";"818"
"20230221:05";"947"
"20230221:06";"755"
"20230221:07";"375"
"20230221:08";"902"
"20230221:09";"787"
"20230221:10";"72"
"20230221:11";"95"
"20230221:12";"456"
"20230221:13";"410"
"20230221:14";"986"
"20230221:15";"238"
"20230221:16";"686"
"20230221:17";"891"
"20230221:18";"374"
"20230221:19";"223"
"20230221:20";"400"
"20230221:21";"742"
"20230221:22";"332"
"20230221:23";"640"
"20230222:00";"104"
"20230222:01";"231"
"20230222:02";"455"
"20230222:03";"603"
"20230222:04";"694"
"20230222:05";"59"
"20230222:06";"577"
"20230222:07";"289"
"20230222:08";"142"
"20230222:09";"123"
"20230222:10";"853"
"20230222:11";"280"
"20230222:12";"532"
"20230222:13";"54"
"20230222:14";"950"
"20230222:15";"253"
"20230222:16";"10"
"20230222:17";"336"
"20230222:18";"863"
"20230222:19";"811"
"20230222:20";"296"
"20230222:21";"182"
